t accel.x accel.y accel.z gyro.x gyro.y gyro.z mag.x mag.y mag.z
0.01 9.82096904641855 0.0338971174277686 -8.50589725698164 -0.00495179493740705 -0.00582920747143947 0.00155901546190635 -0.00404632341284379 0 0.479982944766623
0.02 9.83643946576669 0.0520084543260599 -8.44330621831398 -0.000811831171060566 -0.0641355742128993 -6.40630691275775e-05 -0.00392861612966709 0 0.479983922621691
0.03 9.81149565952547 -0.0106554406444617 -8.55189184650992 -0.00207861086410755 -0.108009406532799 -0.000508435693251169 -0.00357560322359234 0 0.479986682171065
0.04 9.75726713562208 0.0520003509342859 -8.51511004450415 -0.00700894735964673 -0.158746582200963 -0.00016061914432955 -0.00298756732980374 0 0.479990702453131
0.05 9.73154404475508 0.00525508902286189 -8.5300858498979 0.00108595219597543 -0.206399463353617 -0.00743336590168768 -0.002165007305245 0 0.479995117416176
0.06 9.68786849456005 0.0385394096087898 -8.58865026965466 -0.00193055343052925 -0.253986099962214 -0.0093413285343287 -0.00110861888136445 0 0.479998719752643
0.07 9.63536309851308 0.00700256863731872 -8.58741391219215 -0.00250984918729682 -0.303974628998528 -0.00614684064345593 0.000180705391575097 0 0.479999965984959
0.08 9.64624583443584 -0.0202828686367332 -8.64381204580575 -0.00561720851731483 -0.349875578521026 -0.0142397573894166 0.00170185415036261 0 0.479996983003488
0.09 9.54940460895727 -0.100887576426647 -8.6861134891723 -0.00488583949485461 -0.396572129772604 -0.0084312385673999 0.00345350115928375 0 0.479987576224367
0.1 9.50998827273663 -0.0185263987432974 -8.76205982759896 -0.00721243074885569 -0.445758287237874 -0.0117070529921438 0.00543411066674698 0 0.479969239057319
0.11 9.45308525807055 -0.0293365490581803 -8.81952578383464 -0.00390503922776736 -0.494478007066604 -0.0121441313410616 0.00764192320228593 0 0.479939163863265
0.12 9.30776226175365 -0.0318928604745275 -8.83728146537794 -0.00507176363105685 -0.539222473418558 -0.00664504917953473 0.0100749497271382 0 0.479894254381104
0.13 9.17860297338465 -0.00713565546155218 -8.95783360877974 -0.00425327223782045 -0.586687811746792 -0.0104421974114761 0.0127309656708461 0 0.479831139582549
0.14 9.1332325704369 0.0401353044761967 -9.05839753222815 -0.0017931319838233 -0.635184315478247 -0.00615896194818985 0.0156075040734503 0 0.47974618895474
0.15 9.06618521970803 -0.0237749133637554 -9.12961567730815 -0.0074228275242679 -0.679438385345831 -0.00505198171845888 0.0187018485170415 0 0.479635529190703
0.16 8.95966224870122 0.0404771332400295 -9.29904421781127 -0.0100856296740424 -0.725826642034251 -0.0015449754430015 0.0220110259732789 0 0.479495062264048
0.17 8.69826345177156 -0.0220550959322699 -9.33908692532781 -0.00835809003246531 -0.766209461064576 -0.0021315915275666 0.0255317996890493 0 0.479320484858136
0.18 8.61767162289283 0.0498940189057924 -9.44347993603891 -0.00851295871779747 -0.815644387497464 -0.00849233106052905 0.0292606622378249 0 0.4791073091129
0.19 8.49446504085147 -0.00459951533247947 -9.5071359633219 -0.0108226406639718 -0.855988318849338 -0.00396552053689355 0.0331938288691846 0 0.478850884644691
0.2 8.29401338668885 0.00939696666944415 -9.66689608392589 -0.0106882033384893 -0.894073145962031 -0.00268930767014245 0.0373272312922082 0 0.478546421785868
0.21 8.12415105657549 -0.0124384586138749 -9.82284310788088 -0.00417927078525423 -0.936120280723308 -0.00100613027225919 0.041656512030368 0 0.478189015981614
